Key,en,es,fr,pt,de,af,zu,st
"admin.stats.total_users","Total Users","","","","","","",""
"admin.stats.active_today","Active Today","","","","","","",""
"admin.stats.pending_invites","Pending Invites","","","","","","",""
"admin.stats.security_alerts","Security Alerts","","","","","","",""
"admin.user_management.title","👥 User Management","","","","","","",""
"admin.pending_invitations","📤 Pending Invitations","","","","","","",""
"admin.resend","📤 Resend","","","","","","",""
"admin.cancel","❌ Cancel","","","","","","",""
"admin.recent_activity","📊 Recent Activity","","","","","","",""
"admin.quick_actions","⚡ Quick Actions","","","","","","",""
"admin.security_settings_title","🔐 Security Settings","","","","","","",""
"admin.security_settings_label","Security Settings","","","","","","",""
"admin.opening_security","Opening security management...","","","","","","",""
"admin.view_analytics","View Analytics","","","","","","",""
"admin.analytics_title","📊 Analytics","","","","","","",""
"admin.opening_analytics","Opening analytics dashboard...","","","","","","",""
"admin.backup_title","💾 Backup","","","","","","",""
"admin.starting_backup","Starting system backup...","","","","","","",""
"admin.system_backup_label","System Backup","","","","","","",""
"admin.data_refreshed_title","✅ Data Refreshed","","","","","","",""
"admin.data_refreshed_desc","Dashboard data has been updated with the latest information.","","","","","","",""
"admin.user_action_title","{{action}} User","","","","","","",""
"admin.user_action_confirm","Are you sure you want to {{action}} this user?","","","","","","",""
"admin.action_completed_title","✅ Action Completed","","","","","","",""
"admin.action_completed_desc","User has been {{action}} successfully.","","","","","","",""
"admin.invitation_resent_title","📤 Invitation Resent","","","","","","",""
"admin.invitation_resent_desc","The invitation has been sent again to the user.","","","","","","",""
"admin.invitation_cancelled_title","❌ Invitation Cancelled","","","","","","",""
"admin.invitation_cancelled_desc","The invitation has been cancelled.","","","","","","",""
"admin.last_seen","Last seen","","","","","","",""
"admin.sent","Sent","","","","","","",""
"not_found.title","Route Not Found","","","","","","",""
"not_found.subtitle","The requested page doesn't exist in the app.","","","","","","",""
"not_found.go_to_dashboard","Go to Dashboard","","","","","","",""
"not_found.go_to_home","Go to Home","","","","","","",""
"not_found.debug.title","Debug Information","","","","","","",""
"not_found.debug.path","Path","","","","","","",""
"not_found.debug.user_role","User Role","","","","","","",""
"not_found.debug.authenticated","Authenticated","","","","","","",""
"not_found.debug.can_go_back","Can Go Back","","","","","","",""
"not_found.debug.segments","Segments","","","","","","",""
"not_found.debug.timestamp","Timestamp","","","","","","",""
"time.just_now","Just now","","","","","","",""
"time.minutes_short_ago","{{count}}m ago","","","","","","",""
"time.hours_short_ago","{{count}}h ago","","","","","","",""
"time.days_short_ago","{{count}}d ago","","","","","","",""
"marketing.pricing.back_to_home","Back to Home","","","","","","",""
"pricing.load_error","Unable to load pricing information. Please try again later.","","","","","","",""
"pricing.loading","Loading pricing plans...","","","","","","",""
"pricing.unable_title","Unable to Load Pricing","","","","","","",""
"pricing.cta.contact_sales","Contact Sales","","","","","","",""
"pricing.cta.start_free","Start Free","","","","","","",""
"pricing.cta.choose_named","Choose {{name}}","","","","","","",""
"pricing.tier.free.desc","Perfect for small preschools getting started","","","","","","",""
"pricing.tier.starter.desc","Essential features for growing schools","","","","","","",""
"pricing.tier.basic.desc","Comprehensive tools for active schools","","","","","","",""
"pricing.tier.premium.desc","Professional features for established schools","","","","","","",""
"pricing.tier.pro.desc","Advanced solution for large schools","","","","","","",""
"pricing.tier.enterprise.desc","Complete solution for large organizations","","","","","","",""
"pricing.subtitle_marketing","Flexible pricing for schools of all sizes. Start free and scale as you grow.","","","","","","",""
"pricing.plans_title","Plans & Pricing","","","","","","",""
"pricing.subtitle_app","Flexible options for individuals, preschools and schools. AI usage includes monthly quotas. Overages require prepayment.","","","","","","",""
"pricing.back_to_pricing","Back to Pricing","","","","","","",""
"pricing.free_ribbon","You are on the Free plan","","","","","","",""
"pricing.restricted_principal_only","Only principals or school admins can request Preschool Pro.","","","","","","",""
"pricing.restricted_enterprise_only","Only principals or school admins can request Enterprise.","","","","","","",""
"pricing.restricted_submit_only","Only principals or school admins can submit these requests.","","","","","","",""
"pricing.enterprise_subtitle","Our enterprise solutions are designed for large school districts, government education departments, and multi-national education providers.","","","","","","",""
"pricing.enterprise.features.multi_tenant","Multi-tenant architecture","","","","","","",""
"pricing.enterprise.features.advanced_security","Advanced security & compliance","","","","","","",""
"pricing.enterprise.features.custom_integrations","Custom integrations & APIs","","","","","","",""
"pricing.enterprise.features.dedicated_support","Dedicated support team","","","","","","",""
"pricing.notes.title","Notes","","","","","","",""
"pricing.notes.quota","AI quotas are monthly and reset at the start of each month.","","","","","","",""
"pricing.notes.overages","Overages require prepayment; once paid, access resumes immediately.","","","","","","",""
"pricing.notes.model_selection","Model selection affects cost; Opus > Sonnet > Haiku. We recommend Haiku for most classroom use.","","","","","","",""
"pricing.notes.enterprise_contact","For K-12 Enterprise pricing, contact sales. We tailor seat counts and AI usage pools to your school size and needs.","","","","","","",""
"pricing.faq.q1","Can I upgrade or downgrade my plan anytime?","","","","","","",""
"pricing.faq.a1","Yes! You can change your plan at any time. Upgrades take effect immediately, and downgrades take effect at the start of your next billing cycle.","","","","","","",""
"pricing.faq.q2","Is there a setup fee?","","","","","","",""
"pricing.faq.a2","No setup fees for Starter and Professional plans. Enterprise plans may include implementation services.","","","","","","",""
"pricing.faq.q3","What payment methods do you accept?","","","","","","",""
"pricing.faq.a3","We accept all major credit cards, PayFast, and bank transfers for South African customers.","","","","","","",""
"dashboard.parentDashboard","Parent Dashboard","","","","","","",""
"dashboard.accessDenied","Access Denied","","","","","","",""
"dashboard.mobileAppAccessRequired","Mobile app access is required to use this feature. Please contact your administrator.","","","","","","",""
"dashboard.parentRoleRequired","Parent role is required to access this dashboard.","","","","","","",""
"dashboard.roleAccessRequired","The correct role is required to access this feature.","","","","","","",""
"dashboard.profileSetupRequired","Your account profile needs to be set up. Please complete your profile setup.","","","","","","",""
"dashboard.goToAccount","Go to Account","","","","","","",""
"dashboard.setupProfile","Setup Profile","","","","","","",""
"dashboard.noChildren","No linked children yet","","","","","","",""
"dashboard.noChildrenDescription","When your school links your account to a child, they will appear here.","","","","","","",""
"dashboard.welcome","Welcome back, {{name}}!","","","","","","",""
"dashboard.quickActions","Quick Actions","","","","","","",""
"dashboard.recentActivity","Recent Activity","","","","","","",""
"dashboard.statistics","Statistics","","","","","","",""
"dashboard.notifications","Notifications","","","","","","",""
"dashboard.noActivity","No recent activity","","","","","","",""
"dashboard.loading","Loading dashboard...","","","","","","",""
"dashboard.connectionError","Connection error. Please check your internet connection.","","","","","","",""
"dashboard.loadError","Unable to load data. Please try again.","","","","","","",""
"dashboard.error_title","Unable to load dashboard","","","","","","",""
"dashboard.retry_button","Try Again","","","","","","",""
"dashboard.good_morning","🌅 Good morning","","","","","","",""
"dashboard.good_afternoon","☀️ Good afternoon","","","","","","",""
"dashboard.good_evening","🌙 Good evening","","","","","","",""
"dashboard.managing_school","Managing {{schoolName}}","","","","","","",""
"dashboard.teaching_at_school","Teaching at {{schoolName}}","","","","","","",""
"dashboard.school_overview","School Overview","","","","","","",""
"dashboard.principal_tools","Principal Tools","","","","","","",""
"dashboard.todays_overview","📊 Today's Overview","","","","","","",""
"dashboard.quick_actions_section","⚡ Quick Actions","","","","","","",""
"dashboard.ai_teaching_tools","🤖 AI Teaching Tools","","","","","","",""
"dashboard.my_classes","📚 My Classes","","","","","","",""
"dashboard.recent_assignments","📝 Recent Homework Assignments","","","","","","",""
"dashboard.upcoming_events","📅 Upcoming Events","","","","","","",""
"dashboard.live_activity_feed","Live Activity Feed","","","","","","",""
"dashboard.no_school_assigned","No School Assigned","","","","","","",""
"dashboard.no_data_available","No school data available","","","","","","",""
"dashboard.principal","Principal","","","","","","",""
"dashboard.teacher","Teacher","","","","","","",""
"dashboard.school_insights","School Insights","","","","","","",""
"dashboard.financial_management","Financial Management","","","","","","",""
"dashboard.ai_analytics","AI & Analytics","","","","","","",""
"dashboard.teaching_staff","Teaching Staff","","","","","","",""
"dashboard.school_capacity","School Capacity","","","","","","",""
"dashboard.students_enrolled","Students Enrolled","","","","","","",""
"dashboard.budget_management","Budget Management","","","","","","",""
"dashboard.petty_cash_system","Petty Cash System","","","","","","",""
"dashboard.financial_reports","Financial Reports","","","","","","",""
"dashboard.ai_co_principal","AI Co-Principal","","","","","","",""
"dashboard.ai_content_creation","AI Content Creation","","","","","","",""
"dashboard.advanced_analytics","Advanced Analytics","","","","","","",""
"dashboard.announcements","Announcements","","","","","","",""
"dashboard.principal_hub","Principal Hub","","","","","","",""
"dashboard.aiHelpUsed","Used AI homework help {{count}} times this month","","","","","","",""
"dashboard.upgradeLimitReached","Upgrade for unlimited access","","","","","","",""
"dashboard.managingChildren","Managing {{count}} child","","","","","","",""
"dashboard.managingChildrenPlural","Managing {{count}} children","","","","","","",""
"dashboard.syncStatus","Synced","","","","","","",""
"dashboard.whatsapp_not_connected","Not Connected","","","","","","",""
"dashboard.tierFree","Free","","","","","","",""
"dashboard.tierPro","Pro","","","","","","",""
"dashboard.tierEnterprise","Enterprise","","","","","","",""
"dashboard.tierLabel","{{tier}} Tier","","","","","","",""
"dashboard.upgradeHint","Upgrade for more ✨","","","","","","",""
"dashboard.usageLimits","Usage Limits","","","","","","",""
"dashboard.upgrade_to_premium_title","🎆 Upgrade to Premium","","","","","","",""
"dashboard.upgrade_to_premium_description","Unlock powerful features for your school:

• Advanced Analytics & Dashboards
• AI-Powered Insights & Recommendations
• Custom Reports & Forecasting
• Real-time Financial Tracking
• Smart Performance Analytics

Transform your school management today!","","","","","","",""
"dashboard.learn_more","Learn More","","","","","","",""
"dashboard.upgrade_now","Upgrade Now 🚀","","","","","","",""
"dashboard.later","Later","","","","","","",""
"dashboard.whatsapp_not_configured","School WhatsApp number not configured. Please contact support at support@edudashpro.org.za","","","","","","",""
"dashboard.announcement_send_error","Unable to send announcement. Please try again.","","","","","","",""
"dashboard.announcement_send_success","📢 Announcement Sent!","","","","","","",""
"dashboard.announcement_send_details","""{{title}}"" has been sent to {{audience}} ({{count}} groups).

Priority: {{priority}}{{requiresResponse}}","","","","","","",""
"dashboard.response_required","
⚠️ Response required","","","","","","",""
"dashboard.view_messages","View Messages","","","","","","",""
"dashboard.announcement_failed","Failed to send announcement: {{error}}","","","","","","",""
"dashboard.announcement_unexpected_error","An unexpected error occurred while sending the announcement.","","","","","","",""
"dashboard.general","General","","","","","","",""
"dashboard.no_teachers_assigned","No teachers assigned yet","","","","","","",""
"dashboard.add_teachers","Add Teachers","","","","","","",""
"dashboard.financial_overview","Financial Overview","","","","","","",""
"dashboard.monthly_revenue","Monthly Revenue","","","","","","",""
"dashboard.net_profit","Net Profit","","","","","","",""
"dashboard.petty_cash_balance","Petty Cash Balance","","","","","","",""
"dashboard.monthly_expenses","Monthly Expenses","","","","","","",""
"dashboard.details","Details","","","","","","",""
"dashboard.ai_insights","AI Insights","","","","","","",""
"dashboard.smart_analytics_recommendations","Smart analytics & recommendations","","","","","","",""
"dashboard.ai_insights_smart_analytics","AI Insights","","","","","","",""
"dashboard.smart_analytics_description","Smart analytics & recommendations","","","","","","",""
"dashboard.upgrade","Upgrade","","","","","","",""
"dashboard.need_help","Need Help?","","","","","","",""
"dashboard.ai_upgrade_required_title","Upgrade Required","","","","","","",""
"dashboard.ai_upgrade_required_message","Your plan does not include this AI feature or your seat is not active.","","","","","","",""
"dashboard.ai_upgrade_required_cta","Upgrade to use","","","","","","",""
"dashboard.ai_tools_enabled","AI tools available","","","","","","",""
"dashboard.ai_tools_disabled","AI tools disabled","","","","","","",""
"dashboard.ai_tools_info","AI runs on a secure server. Access and usage are limited by your plan or trial.","","","","","","",""
"dashboard.ai_upgrade_nudge","Unlock AI tools with Basic, Premium or Pro.","","","","","","",""
"dashboard.unlock_features","Unlock more features","","","","","","",""
"dashboard.see_plans","See plans","","","","","","",""
"dashboard.load_error","Unable to load data. Please try again.","","","","","","",""
"dashboard.contact_support_whatsapp","Contact support via WhatsApp • Get instant help","","","","","","",""
"dashboard.payment_history","Payment History","","","","","","",""
"dashboard.payment_history_subtitle","Browse, filter & export payment records","","","","","","",""
"dashboard.financial_overview_subtitle","View revenue, expenses & cash flow trends","","","","","","",""
"dashboard.financial_reports_subtitle","Generate detailed financial analysis","","","","","","",""
"dashboard.petty_cash_subtitle","Manage daily expenses & cash on hand","","","","","","",""
"dashboard.class_teacher_management","Class & Teacher Management","","","","","","",""
"dashboard.class_teacher_management_subtitle","Assign teachers, manage classes & ratios","","","","","","",""
"dashboard.loading_profile","Loading profile...","","","","","","",""
"dashboard.no_school_found_redirect","No school found. Redirecting to onboarding…","","","","","","",""
"dashboard.principal_hub_load_error","Unable to Load Principal Hub","","","","","","",""
"dashboard.your_school","your school","","","","","","",""
"dashboard.unlock_premium_subtitle","Advanced analytics, AI insights & more • Transform your school today!","","","","","","",""
"dashboard.capacity_students","{{current}} / {{capacity}} students","","","","","","",""
"dashboard.utilized_percentage","{{percentage}}% utilized","","","","","","",""
"dashboard.pending_approvals","Pending Approvals","","","","","","",""
"dashboard.requiring_approval","Requiring approval","","","","","","",""
"dashboard.vs_last_month","vs last month","","","","","","",""
"dashboard.this_month","this month","","","","","","",""
"dashboard.no_school_assigned_text","No School Assigned","","","","","","",""
"dashboard.general_expenses","General Expenses","","","","","","",""
"dashboard.no_description","No description","","","","","","",""
"dashboard.invalid_phone_number","Invalid Phone Number","","","","","","",""
"dashboard.enter_valid_phone","Please enter a valid South African mobile number","","","","","","",""
"dashboard.announcement.create_announcement","Create Announcement","","","","","","",""
"dashboard.announcement.title","Title","","","","","","",""
"dashboard.announcement.message","Message","","","","","","",""
"dashboard.announcement.send_to","Send To","","","","","","",""
"dashboard.announcement.priority_level","Priority Level","","","","","","",""
"dashboard.announcement.options","Options","","","","","","",""
"dashboard.announcement.preview","Preview","","","","","","",""
"dashboard.announcement.send","Send","","","","","","",""
"dashboard.announcement.teachers","Teachers","","","","","","",""
"dashboard.announcement.parents","Parents","","","","","","",""
"dashboard.announcement.students","Students","","","","","","",""
"dashboard.announcement.admin_staff","Admin Staff","","","","","","",""
"dashboard.announcement.low","Low","","","","","","",""
"dashboard.announcement.normal","Normal","","","","","","",""
"dashboard.announcement.high","High","","","","","","",""
"dashboard.announcement.urgent","Urgent","","","","","","",""
"dashboard.announcement.requires_response","Requires Response","","","","","","",""
"dashboard.announcement.schedule_for_later","Schedule for Later","","","","","","",""
"dashboard.announcement.recipients_count","{{count}} recipients","","","","","","",""
"dashboard.announcement.enter_title","Enter announcement title...","","","","","","",""
"dashboard.announcement.write_message","Write your announcement message here...","","","","","","",""
"dashboard.announcement.characters_count","{{count}}/1000 characters","","","","","","",""
"dashboard.announcement.missing_information","Missing Information","","","","","","",""
"dashboard.announcement.provide_title_message","Please provide both title and message","","","","","","",""
"dashboard.announcement.no_audience","No Audience","","","","","","",""
"dashboard.announcement.select_audience","Please select at least one audience","","","","","","",""
"dashboard.announcement.recipients_acknowledge","Recipients must acknowledge this announcement","","","","","","",""
"dashboard.announcement.send_specific_time","Send at a specific date and time","","","","","","",""
"dashboard.announcement.announcement_title_placeholder","Announcement Title","","","","","","",""
"dashboard.announcement.message_placeholder","Your announcement message will appear here...","","","","","","",""
"dashboard.announcement.sent_to","Sent to: {{audience}}","","","","","","",""
"dashboard.announcement.no_audience_selected","No audience selected","","","","","","",""
"dashboard.petty_cash.petty_cash","Petty Cash","","","","","","",""
"dashboard.petty_cash.current_balance","Current Balance","","","","","","",""
"dashboard.petty_cash.quick_actions","Quick Actions","","","","","","",""
"dashboard.petty_cash.add_expense","Add Expense","","","","","","",""
"dashboard.petty_cash.replenish_cash","Replenish Cash","","","","","","",""
"dashboard.petty_cash.withdraw_cash","Withdraw Cash","","","","","","",""
"dashboard.petty_cash.reconcile","Reconcile","","","","","","",""
"dashboard.petty_cash.recent_transactions","Recent Transactions","","","","","","",""
"dashboard.petty_cash.view_all","View All","","","","","","",""
"dashboard.petty_cash.total_expenses","Total Expenses","","","","","","",""
"dashboard.petty_cash.total_replenishments","Total Replenishments","","","","","","",""
"dashboard.petty_cash.pending_approval","Pending Approval","","","","","","",""
"dashboard.petty_cash.no_transactions_yet","No Transactions Yet","","","","","","",""
"dashboard.petty_cash.add_first_expense","Add your first expense or replenishment","","","","","","",""
"dashboard.petty_cash.monthly_overview","Monthly Overview","","","","","","",""
"dashboard.petty_cash.balance","Balance","","","","","","",""
"dashboard.petty_cash.amount","Amount","","","","","","",""
"dashboard.petty_cash.description","Description","","","","","","",""
"dashboard.petty_cash.category","Category","","","","","","",""
"dashboard.petty_cash.receipt_number","Receipt Number","","","","","","",""
"dashboard.petty_cash.select_category","Select Category","","","","","","",""
"dashboard.petty_cash.enter_amount","Enter amount","","","","","","",""
"dashboard.petty_cash.enter_description","Enter description","","","","","","",""
"dashboard.petty_cash.enter_receipt_number","Enter receipt number (optional)","","","","","","",""
"dashboard.petty_cash.attach_receipt","Attach Receipt","","","","","","",""
"dashboard.petty_cash.save","Save","","","","","","",""
"dashboard.petty_cash.cancel","Cancel","","","","","","",""
"dashboard.petty_cash.expense","Expense","","","","","","",""
"dashboard.petty_cash.replenishment","Replenishment","","","","","","",""
"dashboard.petty_cash.adjustment","Adjustment","","","","","","",""
"dashboard.petty_cash.approved","Approved","","","","","","",""
"dashboard.petty_cash.pending","Pending","","","","","","",""
"dashboard.petty_cash.rejected","Rejected","","","","","","",""
"dashboard.petty_cash.error_no_school","No school assigned to your account","","","","","","",""
"dashboard.petty_cash.error_fill_fields","Please fill in all required fields","","","","","","",""
"dashboard.petty_cash.error_valid_amount","Please enter a valid amount","","","","","","",""
"dashboard.petty_cash.error_insufficient_balance","Insufficient petty cash balance","","","","","","",""
"dashboard.petty_cash.error_replenishment_amount","Please enter replenishment amount","","","","","","",""
"dashboard.petty_cash.error_amount_description","Please enter amount and description","","","","","","",""
"dashboard.petty_cash.error_withdrawal_exceeds","Withdrawal amount exceeds current balance","","","","","","",""
"dashboard.petty_cash.error_failed_load","Failed to load petty cash information","","","","","","",""
"dashboard.petty_cash.error_failed_add","Failed to add expense","","","","","","",""
"dashboard.petty_cash.error_failed_record","Failed to record replenishment","","","","","","",""
"dashboard.petty_cash.error_failed_withdrawal","Failed to record withdrawal","","","","","","",""
"dashboard.petty_cash.error_db_unavailable","Database connection not available","","","","","","",""
"dashboard.petty_cash.success_expense_added","Expense added successfully","","","","","","",""
"dashboard.petty_cash.success_expense_receipt"," with receipt","","","","","","",""
"dashboard.petty_cash.success_replenishment","Replenishment recorded successfully","","","","","","",""
"dashboard.petty_cash.success_withdrawal","Withdrawal recorded successfully","","","","","","",""
"dashboard.petty_cash.confirm_withdrawal","Confirm Withdrawal","","","","","","",""
"dashboard.petty_cash.confirm_withdrawal_message","Are you sure you want to withdraw {{amount}} from petty cash?

This will reduce the available balance.","","","","","","",""
"dashboard.petty_cash.withdraw","Withdraw","","","","","","",""
"dashboard.petty_cash.stationery_supplies","Stationery & Supplies","","","","","","",""
"dashboard.petty_cash.refreshments","Refreshments","","","","","","",""
"dashboard.petty_cash.maintenance_repairs","Maintenance & Repairs","","","","","","",""
"dashboard.petty_cash.travel_transport","Travel & Transport","","","","","","",""
"dashboard.petty_cash.communication","Communication","","","","","","",""
"dashboard.petty_cash.medical_first_aid","Medical & First Aid","","","","","","",""
"dashboard.petty_cash.cleaning_supplies","Cleaning Supplies","","","","","","",""
"dashboard.petty_cash.utilities_small","Utilities (small amounts)","","","","","","",""
"dashboard.petty_cash.emergency_expenses","Emergency Expenses","","","","","","",""
"dashboard.petty_cash.other","Other","","","","","","",""
"dashboard.petty_cash.loading_data","Loading petty cash data...","","","","","","",""
"dashboard.petty_cash.low_balance_warning","Low balance - consider replenishment","","","","","","",""
"dashboard.petty_cash.available_balance","Available Balance","","","","","","",""
"dashboard.petty_cash.replenishment_amount","Replenishment Amount","","","","","","",""
"dashboard.petty_cash.current_status","Current Status","","","","","","",""
"dashboard.petty_cash.replenishment_recommendation","Recommended replenishment when balance falls below R1,000","","","","","","",""
"dashboard.petty_cash.withdrawal_amount","Withdrawal Amount","","","","","","",""
"dashboard.petty_cash.withdrawal_reason","Reason for Withdrawal","","","","","","",""
"dashboard.petty_cash.withdrawal_reason_placeholder","Why are you withdrawing this cash?","","","","","","",""
"dashboard.petty_cash.reference_number","Reference Number","","","","","","",""
"dashboard.petty_cash.reference_placeholder","Bank deposit slip, reference number, etc.","","","","","","",""
"dashboard.petty_cash.withdrawal_notice","This withdrawal will reduce your petty cash balance. Use this when cash needs to be deposited back to the main account or removed for other reasons.","","","","","","",""
"dashboard.receipt.choose_method","Choose how to add your receipt:","","","","","","",""
"dashboard.receipt.take_photo","Take Photo","","","","","","",""
"dashboard.receipt.choose_from_gallery","Choose from Gallery","","","","","","",""
"dashboard.receipt.permission_required","Permission required","","","","","","",""
"dashboard.receipt.camera_permission","Camera permission is needed to take photos","","","","","","",""
"dashboard.receipt.gallery_permission","Gallery permission is needed to select photos","","","","","","",""
"dashboard.receipt.error_take_photo","Failed to take photo","","","","","","",""
"dashboard.receipt.error_select_image","Failed to select image","","","","","","",""
"dashboard.receipt.receipt_image","Receipt Image","","","","","","",""
"dashboard.receipt.add_receipt_photo","Add Receipt Photo","","","","","","",""
"dashboard.receipt.tap_to_photo_gallery","Tap to take photo or select from gallery","","","","","","",""
"dashboard.transaction.failed_cancel","Failed to cancel transaction","","","","","","",""
"dashboard.transaction.principals_only_delete","Only principals can delete transactions","","","","","","",""
